"KeyYear-Gender","NOME","TOTAL"
"2017-M-0001","Santiago","1914"
"2017-M-0002","Francisco","1772"
"2017-M-0003","João","1708"
"2017-M-0004","Afonso","1479"
"2017-M-0005","Rodrigo","1420"
"2017-M-0006","Martim","1334"
"2017-M-0007","Tomás","1257"
"2017-M-0008","Duarte","1220"
"2017-M-0009","Miguel","1201"
"2017-M-0010","Gabriel","1182"
"2017-M-0011","Lourenço","1115"
"2017-M-0012","Gonçalo","1070"
"2017-M-0013","Dinis","1034"
"2017-M-0014","Guilherme","1008"
"2017-M-0015","Pedro","996"
"2017-M-0016","Salvador","907"
"2017-M-0017","Rafael","899"
"2017-M-0018","Lucas","893"
"2017-M-0019","Tiago","855"
"2017-M-0020","Gustavo","795"
"2017-M-0021","Diogo","767"
"2017-M-0022","Vicente","718"
"2017-M-0023","José","703"
"2017-M-0024","David","626"
"2017-M-0025","Mateus","618"
"2017-M-0026","Simão","596"
"2017-M-0027","António","532"
"2017-M-0028","Diego","532"
"2017-M-0029","Manuel","529"
"2017-M-0030","Henrique","509"
"2017-M-0031","Daniel","472"
"2017-M-0032","Vasco","456"
"2017-M-0033","Bernardo","446"
"2017-M-0034","Enzo","413"
"2017-M-0035","André","399"
"2017-M-0036","Leonardo","397"
"2017-M-0037","Luís","317"
"2017-M-0038","Isaac","316"
"2017-M-0039","Eduardo","288"
"2017-M-0040","Alexandre","260"
"2017-M-0041","Kevin","234"
"2017-M-0042","Matias","232"
"2017-M-0043","Leandro","209"
"2017-M-0044","Filipe","203"
"2017-M-0045","Xavier","184"
"2017-M-0046","Rúben","183"
"2017-M-0047","Samuel","173"
"2017-M-0048","Ricardo","168"
"2017-M-0049","Artur","165"
"2017-M-0050","Valentim","162"
"2017-M-0051","Frederico","153"
"2017-M-0052","Lorenzo","145"
"2017-M-0053","Bryan","139"
"2017-M-0054","Bruno","138"
"2017-M-0055","Nuno","132"
"2017-M-0056","Benjamim","130"
"2017-M-0057","Carlos","128"
"2017-M-0058","Sebastião","123"
"2017-M-0059","Rui","119"
"2017-M-0060","Davi","108"
"2017-M-0061","Hugo","106"
"2017-M-0062","Noah","98"
"2017-M-0063","Joaquim","85"
"2017-M-0064","Mário","80"
"2017-M-0065","Tomé","80"
"2017-M-0066","Fábio","70"
"2017-M-0067","Paulo","68"
"2017-M-0068","Manel","67"
"2017-M-0069","Renato","66"
"2017-M-0070","Jorge","65"
"2017-M-0071","Jaime","63"
"2017-M-0072","Marco","61"
"2017-M-0073","Ângelo","57"
"2017-M-0074","Micael","55"
"2017-M-0075","Liam","53"
"2017-M-0076","Ivan","52"
"2017-M-0077","Matheus","52"
"2017-M-0078","William","50"
"2017-M-0079","Gaspar","49"
"2017-M-0080","Cristiano","48"
"2017-M-0081","Luca","46"
"2017-M-0082","Jonathan","46"
"2017-M-0083","Sérgio","43"
"2017-M-0084","Gil","43"
"2017-M-0085","Ivo","41"
"2017-M-0086","Brian","39"
"2017-M-0087","Arthur","39"
"2017-M-0088","Christian","39"
"2017-M-0089","Vítor","38"
